year,geo_name,geo,income,income_ranking
2014,Pike County,05000US28113,31926,2939
2014,Braxton County,05000US54007,31984,2938
2014,Wilkinson County,05000US28157,32044,2937
2014,Pike County,05000US05109,32045,2936
2014,Madison County,05000US16065,32052,2935
2014,Clay County,05000US05021,32057,2934
2014,Wilkes County,05000US37193,32157,2933
2014,Covington County,05000US28031,32162,2932
2014,Danville city,05000US51590,32173,2931
2014,Hertford County,05000US37091,32201,2930
2014,McNairy County,05000US47109,32214,2929
2014,Ouachita County,05000US05103,32220,2928
2014,Colleton County,05000US45029,32224,2927
2014,Colquitt County,05000US13071,32233,2926
2014,Clarendon County,05000US45027,32243,2925
2014,Whitley County,05000US21235,32255,2924
2014,Custer County,05000US08027,32261,2922
2014,Jasper County,05000US28061,32261,2922
2014,Montgomery County,05000US05097,32293,2921
2014,Perry County,05000US21193,32302,2920
2014,Coosa County,05000US01037,32340,2919
2014,Oktibbeha County,05000US28105,32348,2918
2014,Drew County,05000US05043,32351,2917
2014,Apache County,05000US04001,32396,2916
2014,Pushmataha County,05000US40127,32462,2915
2014,Kinney County,05000US48271,32473,2914
2014,Duval County,05000US48131,32479,2913
2014,Chattooga County,05000US13055,32496,2912
2014,Ziebach County,05000US46137,32500,2910
2014,Newton County,05000US05101,32500,2910
2014,Maverick County,05000US48323,32536,2909
2014,Wilcox County,05000US13315,32545,2908
2014,Johnson County,05000US05071,32553,2907
2014,Dallas County,05000US05039,32554,2906
2014,Pike County,05000US21195,32571,2905
2014,Dolores County,05000US08033,32578,2904
2014,Hempstead County,05000US05057,32587,2903
2014,Owyhee County,05000US16073,32589,2902
2014,Otero County,05000US08089,32594,2901
2014,Terrell County,05000US13273,32602,2900
2014,Winn Parish,05000US22127,32608,2899
2014,Lincoln County,05000US05079,32615,2898
2014,Campbell County,05000US47013,32616,2897
2014,Carter County,05000US29035,32656,2896
2014,Echols County,05000US13101,32667,2895
2014,Jackson County,05000US17077,32681,2894
2014,Putnam County,05000US12107,32714,2893
2014,Montgomery County,05000US37123,32715,2892
2014,Bamberg County,05000US45009,32738,2891
2014,Carter County,05000US47019,32754,2890
2014,Clark County,05000US16033,32770,2889
2014,Rolette County,05000US38079,32781,2888
2014,Buena Vista city,05000US51530,32789,2887
2014,Pike County,05000US01109,32798,2886
2014,Bienville Parish,05000US22013,32826,2885
2014,Halifax County,05000US37083,32834,2884
2014,Chambers County,05000US01017,32835,2883
2014,Clay County,05000US28025,32844,2882
2014,Houston County,05000US48225,32855,2881
2014,Claiborne County,05000US47025,32884,2880
2014,Corson County,05000US46031,32892,2879
2014,Huerfano County,05000US08055,32932,2878
2014,Clay County,05000US54015,32933,2877
2014,Fulton County,05000US21075,32948,2876
2014,Leake County,05000US28079,32953,2875
2014,Howell County,05000US29091,33006,2874
2014,McCurtain County,05000US40089,33012,2873
2014,Baylor County,05000US48023,33019,2872
2014,Mineral County,05000US30061,33060,2871
2014,Meigs County,05000US47121,33061,2870
2014,Grenada County,05000US28043,33067,2869
2014,Wayne County,05000US29223,33072,2868
2014,Bath County,05000US21011,33091,2867
2014,Perry County,05000US28111,33097,2866
2014,Dickenson County,05000US51051,33106,2865
2014,Washington County,05000US37187,33115,2864
2014,Franklin city,05000US51620,33133,2863
2014,Emanuel County,05000US13107,33142,2862
2014,Fayette County,05000US01057,33144,2861
2014,Benton County,05000US29015,33145,2860
2014,Chester County,05000US45023,33151,2859
2014,Hall County,05000US48191,33205,2858
2014,Miller County,05000US13201,33224,2857
2014,Poinsett County,05000US05111,33238,2856
2014,Oscoda County,05000US26135,33240,2855
2014,Piute County,05000US49031,33250,2854
2014,Clare County,05000US26035,33264,2853
2014,Marion County,05000US05089,33293,2852
2014,Burke County,05000US13033,33299,2851
2014,Adair County,05000US40001,33325,2850
2014,Crittenden County,05000US21055,33356,2849
2014,Anson County,05000US37007,33388,2848
2014,"Cameron County, TX",05000US48061,33390,2847
2014,Fleming County,05000US21069,33392,2846
2014,Saguache County,05000US08109,33398,2845
2014,Pulaski County,05000US21199,33425,2844
2014,"Clarke County, GA",05000US13059,33430,2843
2014,Lawrence County,05000US05075,33481,2842
2014,Laurens County,05000US13175,33487,2841
2014,Glacier County,05000US30035,33493,2840
2014,Carroll County,05000US51035,33495,2839
2014,Jackson County,05000US47087,33500,2838
2014,Madison County,05000US12079,33520,2837
2014,Roscommon County,05000US26143,33540,2836
2014,Polk County,05000US05113,33558,2835
2014,Socorro County,05000US35053,33570,2834
2014,Shannon County,05000US29203,33583,2833
2014,Falls County,05000US48145,33587,2832
2014,Costilla County,05000US08023,33594,2831
2014,Glades County,05000US12043,33609,2830
2014,Searcy County,05000US05129,33610,2829
2014,Orangeburg County,05000US45075,33615,2828
2014,Bristol city,05000US51520,33616,2827
2014,Natchitoches Parish,05000US22069,33629,2826
2014,Barnwell County,05000US45011,33639,2825
2014,Sumter County,05000US13261,33694,2824
2014,Dewey County,05000US46041,33704,2823
2014,Marengo County,05000US01091,33714,2822
2014,Bradley County,05000US05011,33745,2821
2014,Webster County,05000US28155,33769,2820
2014,Athens County,05000US39009,33773,2819
2014,Avoyelles Parish,05000US22009,33781,2818
2014,Grayson County,05000US21085,33788,2817
2014,Alcorn County,05000US28003,33790,2816
2014,Prentiss County,05000US28117,33811,2815
2014,Marion County,05000US01093,33819,2814
2014,Wheatland County,05000US30107,33825,2813
2014,Edgecombe County,05000US37065,33892,2812
2014,Yalobusha County,05000US28161,33900,2811
2014,Haywood County,05000US47075,33922,2810
2014,Petersburg city,05000US51730,33927,2809
2014,St. Landry Parish,05000US22097,33928,2808
2014,White County,05000US47185,33933,2807
2014,Pulaski County,05000US17153,33946,2806
2014,Sabine County,05000US48403,33951,2805
2014,Winston County,05000US28159,33969,2804
2014,Gogebic County,05000US26053,34021,2803
2014,Rabun County,05000US13241,34043,2802
2014,Calhoun County,05000US12013,34053,2801
2014,Tyrrell County,05000US37177,34056,2800
2014,Richmond County,05000US37153,34060,2798
2014,Carroll County,05000US28015,34060,2798
2014,Winston County,05000US01133,34064,2797
2014,Talbot County,05000US13263,34073,2796
2014,Vance County,05000US37181,34075,2795
2014,Jefferson County,05000US40067,34080,2794
2014,Hardin County,05000US47071,34084,2793
2014,Benton County,05000US47005,34087,2792
2014,Menard County,05000US48327,34091,2791
2014,Screven County,05000US13251,34097,2790
2014,Clark County,05000US05019,34109,2789
2014,Macon County,05000US47111,34156,2788
2014,Morgan County,05000US29141,34179,2787
2014,Lincoln Parish,05000US22061,34210,2786
2014,Claiborne Parish,05000US22027,34216,2785
2014,New Madrid County,05000US29143,34224,2784
2014,Cook County,05000US13075,34230,2783
